"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","6","0","0","30","0","26","0","3","6","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区南部","1","8","4","2","42","0","28","0","3","4","2","0","0","0","3","0","0","0","0","0","0","","","","","",""
"区西南部","0","10","1","1","27","0","18","0","4","0","0","0","0","0","0","1","1","0","0","0","0","","","","","",""
"区西部","0","14","0","2","37","0","5","0","4","4","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西北部","0","18","2","4","67","2","21","0","4","8","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区東北部","0","22","0","0","44","1","13","0","2","3","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"区東部","0","3","0","8","37","0","13","0","5","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","1","1","0","6","0","7","0","0","2","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","14","0","1","67","4","32","0","5","13","1","1","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","4","0","3","20","0","5","0","2","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","8","3","3","30","0","15","0","6","7","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","13","1","1","33","0","17","0","3","3","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1","121","12","25","440","7","200","0","42","57","6","5","2","0","6","1","1","0","0","0","0","","","","","",""
