"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","18","0","0","0"
"1〜4歳","0","0","0","0","0","0","5","7","0","0"
"5〜9歳","0","0","0","0","0","0","1","1","0","0"
"10〜14歳","0","0","0","0","0","0","2","0","0","0"
"15〜19歳","14","1","0","2","0","0","1","0","0","0"
"20〜24歳","47","7","12","21","3","4","0","0","0","0"
"25〜29歳","45","18","15","20","4","1","0","0","0","0"
"30〜34歳","40","17","16","24","2","3","2","0","0","0"
"35〜39歳","33","23","5","18","1","2","0","0","0","0"
"40〜44歳","17","15","8","14","3","2","2","0","0","0"
"45〜49歳","16","8","1","12","0","0","1","0","0","0"
"50〜54歳","3","9","4","6","1","0","1","1","1","0"
"55〜59歳","4","6","2","4","1","0","1","0","0","0"
"60〜64歳","5","1","1","3","1","0","4","0","0","0"
"65〜69歳","0","3","0","1","0","1","7","1","0","0"
"70歳以上","1","2","0","0","0","0","30","6","1","0"
"合計","225","110","64","125","16","13","75","16","2","0"
