"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","17","1","1","8","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","53","3","1","51","1","11","0","28","0","26","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","1","88","12","4","92","3","40","3","44","0","46","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","30","8","8","56","3","16","0","7","0","36","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","0","11","3","17","50","3","7","5","2","0","35","6","1","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0"
"4歳","0","6","3","17","48","1","5","1","0","0","17","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","0","2","8","17","31","6","5","3","3","0","17","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","1","12","31","1","4","2","0","0","8","6","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"7歳","1","0","2","20","22","1","1","0","0","0","5","10","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8歳","1","0","0","8","21","3","1","1","0","0","3","4","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","3","10","11","0","0","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","1","0","2","21","38","2","2","1","0","0","1","12","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","3","17","0","1","0","0","0","0","3","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","2","17","61","1","3","0","0","1","3","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","1","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","9","207","48","156","537","25","99","16","84","1","199","76","13","0","0","16","0","2","14","0","0","0","0","0","0","0","0","0","0"
