"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","23","14","2","0","5","9","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","2","4","3","0","2","2","2"
"中央区","21","16","0","2","9","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","80","32","2","1","13","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","9","6","0","1","1","1"
"新宿区","75","50","3","1","28","13","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","7","12","8","2","2","2","2"
"文京","81","26","0","1","19","24","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","7","7","4","1","1","1","1"
"台東","69","9","0","0","38","28","2","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","87","65","0","0","8","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","2","4","8","5","1","1","1","1"
"江東区","224","49","2","0","31","50","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","94","36","0","2","7","43","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","59","18","1","0","14","28","2","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","251","62","6","3","19","107","3","1","1","11","1","1","1","0","0","0","0","0","0","0","0","0","3","21","13","2","1","1","1"
"世田谷","253","110","5","2","35","90","4","0","0","3","0","1","2","0","0","3","0","0","0","0","0","2","9","24","16","2","2","2","2"
"渋谷区","23","16","0","0","1","19","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","7","7","4","1","1","1","1"
"中野区","175","48","9","2","36","66","10","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","152","53","1","0","17","31","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","17","11","1","2","2","2"
"池袋","81","37","1","1","6","8","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","8","5","1","1","1","1"
"北区","131","56","2","1","33","40","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","138","58","6","1","38","38","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","185","66","0","2","29","48","0","0","5","1","0","3","0","0","0","0","0","0","0","0","0","0","6","16","10","2","1","1","1"
"練馬区","293","114","7","2","36","51","4","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","253","83","5","9","59","41","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","19","12","2","0","0","0"
"葛飾区","142","70","0","1","13","34","3","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","8","13","8","1","1","1","1"
"江戸川","214","68","2","4","60","72","1","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","468","105","4","2","43","92","4","0","2","6","0","0","0","0","0","0","0","0","0","0","0","2","6","18","11","2","1","1","1"
"町田市","153","41","0","2","32","54","0","0","0","3","0","1","2","0","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","178","59","0","4","7","22","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","7","14","8","1","1","1","1"
"南多摩","265","55","3","0","3","38","3","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","367","72","2","1","75","79","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","2","21","14","2","1","1","1"
"多摩府中","591","134","1","6","81","106","1","0","3","2","1","0","2","0","0","0","0","0","0","0","0","9","24","33","21","3","3","3","3"
"多摩小平","462","127","1","11","82","111","2","0","0","1","0","0","1","0","0","1","0","0","0","0","0","6","24","22","14","2","2","2","2"
"島しょ","0","18","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","1"
"合計","5588","1767","65","61","879","1408","57","1","16","58","3","12","10","1","0","10","0","0","0","0","1","27","128","416","262","39","25","25","25"
