"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","29","14","836","1","3","25","105","8","1","11","4","0","1","1","1","0","1","0","0","0","0","0","0","3","","","","","","",""
"区南部","7","19","533","6","4","24","72","2","1","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"区西南部","16","16","816","2","3","45","74","4","2","12","1","0","0","1","0","0","4","0","0","0","0","0","0","2","","","","","","",""
"区西部","15","28","867","4","1","47","59","10","1","3","1","0","0","1","1","0","0","0","0","2","1","1","0","3","","","","","","",""
"区西北部","31","36","1432","8","1","49","97","13","0","7","6","0","1","1","0","0","1","0","0","0","0","1","0","1","","","","","","",""
"区東北部","23","26","1072","6","4","25","51","4","0","23","4","0","0","1","0","0","1","0","0","0","0","2","0","5","","","","","","",""
"区東部","14","23","1082","8","1","58","114","2","2","5","4","0","1","1","1","0","2","0","0","0","0","0","0","0","","","","","","",""
"西多摩","3","2","131","1","1","5","22","1","0","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"南多摩","13","23","1589","4","1","25","124","5","1","20","5","0","1","0","2","0","1","0","0","0","0","0","0","3","","","","","","",""
"北多摩西部","14","11","323","2","2","29","34","5","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"北多摩南部","14","18","950","5","3","36","74","9","1","11","1","0","1","2","1","0","2","0","0","1","0","0","1","2","","","","","","",""
"北多摩北部","23","18","785","3","2","43","79","5","3","12","1","0","0","1","1","0","0","0","0","0","0","0","0","2","","","","","","",""
"島しょ","0","1","7","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","202","235","10423","50","26","413","907","68","12","114","35","0","6","9","7","0","12","0","0","3","1","4","1","21","","","","","","",""
