"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","5","1","1","0","6","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","5","4","0","2","2","0"
"中央区","18","0","4","3","5","2","0","0","1","0","0","3","0","0","0","0","0","0","0","0","4","3","1","0","0","0"
"みなと","59","1","3","7","67","3","0","1","3","0","0","2","0","0","0","0","0","0","0","1","8","6","0","1","1","0"
"新宿区","32","1","0","13","20","10","1","0","0","0","0","1","2","0","0","1","0","0","0","0","9","6","2","2","2","0"
"文京","20","0","1","3","6","4","1","0","1","0","0","1","0","0","0","1","0","0","1","0","5","3","1","1","1","0"
"台東","15","0","3","5","20","3","1","1","3","0","0","2","0","0","0","0","0","0","0","0","5","3","0","0","0","0"
"墨田区","18","0","0","4","30","3","0","0","2","0","0","0","0","0","0","1","0","0","0","0","6","3","1","1","1","0"
"江東区","86","0","0","11","61","1","0","0","7","0","0","6","0","0","0","0","0","0","0","0","9","4","1","0","0","0"
"品川区","90","0","1","12","53","7","0","1","3","1","0","0","0","0","0","1","0","0","0","0","10","6","1","0","0","0"
"目黒区","16","0","0","3","18","6","0","1","0","0","0","1","0","0","0","1","0","0","0","0","6","3","1","0","0","0"
"大田区","142","4","8","17","57","20","1","6","8","0","0","2","1","0","0","0","0","0","0","0","16","9","2","1","1","0"
"世田谷","137","1","0","10","39","5","0","0","1","0","1","6","0","1","0","0","0","0","0","0","15","8","2","2","2","0"
"渋谷区","40","0","3","2","12","4","0","0","2","0","0","1","0","0","0","0","0","0","0","0","6","4","1","1","1","0"
"中野区","81","0","0","2","79","2","0","0","3","0","0","1","0","0","0","0","0","0","0","0","9","6","1","1","1","0"
"杉並","176","0","0","16","59","16","0","0","2","0","0","1","0","0","0","0","0","0","0","0","12","6","1","1","1","0"
"池袋","62","0","0","1","21","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","8","5","1","1","1","0"
"北区","46","0","0","4","37","3","0","1","3","0","0","0","0","0","0","0","0","0","0","0","8","4","1","0","0","0"
"荒川区","38","0","0","5","24","6","0","0","0","0","0","3","1","0","0","0","0","0","0","0","4","2","1","0","0","0"
"板橋区","82","0","0","1","18","10","0","1","0","0","0","0","0","0","0","1","0","0","0","0","12","6","2","1","1","0"
"練馬区","100","0","0","2","18","7","2","0","3","2","0","2","0","0","0","0","0","0","0","0","12","5","2","0","0","0"
"足立","36","0","0","1","25","2","0","0","0","0","0","2","0","0","1","1","0","0","0","0","12","5","2","0","0","0"
"葛飾区","78","0","0","7","21","7","0","0","0","0","0","0","0","0","1","1","0","0","1","2","8","3","1","1","1","0"
"江戸川","62","1","3","65","39","4","0","0","8","0","0","2","0","0","0","0","0","0","0","0","12","5","2","0","0","0"
"八王子市","204","0","1","35","88","19","0","0","4","1","0","19","0","0","0","0","0","0","0","0","10","4","2","1","1","0"
"町田市","123","0","0","40","50","16","0","3","8","0","2","5","1","0","0","0","0","0","0","0","9","4","1","0","0","0"
"西多摩","209","0","0","1","38","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","9","5","1","1","1","0"
"南多摩","95","2","0","13","16","9","0","1","4","0","0","3","1","0","0","0","0","0","0","0","9","4","1","0","0","0"
"多摩立川","107","0","0","6","33","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","13","6","2","1","1","0"
"多摩府中","149","0","0","6","39","3","0","0","7","0","0","3","0","0","0","1","0","0","0","0","21","10","3","2","3","0"
"多摩小平","251","2","2","18","65","3","0","0","8","0","0","6","1","0","0","2","0","0","0","0","14","6","2","2","2","0"
"島しょ","8","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","2585","13","30","317","1064","185","6","16","82","4","3","79","7","1","2","11","0","0","4","3","288","149","39","24","25","0"
