"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","38","36","7","6","14","0","4","2","0","",""
"区南部","3","0","0","0","0","0","2","0","0","",""
"区西南部","0","0","0","0","0","0","6","0","0","",""
"区西部","25","11","6","3","1","0","8","5","1","",""
"区西北部","14","3","3","1","2","0","4","3","0","",""
"区東北部","4","3","3","0","2","0","5","0","0","",""
"区東部","8","2","0","0","0","0","0","3","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","10","1","0","0","4","0","7","0","0","",""
"北多摩西部","11","3","1","6","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","8","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","113","59","20","16","23","0","44","13","1","",""
