"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","23","2","0","0","3","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","13","51","7","2","0","35","0","5","0","6","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"1歳","21","60","8","22","1","74","2","34","0","28","14","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","25","54","4","17","9","36","1","56","0","1","18","0","3","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","41","47","1","25","13","42","1","25","0","3","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","59","56","0","18","21","39","0","11","1","1","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","66","53","0","19","35","37","2","8","0","0","10","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","73","62","0","9","33","22","2","5","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","114","74","0","3","18","24","1","5","0","1","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","103","99","0","2","22","21","1","2","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","50","103","0","2","12","14","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"10〜14歳","169","432","0","5","14","37","5","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","92","263","0","0","1","6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"20〜29歳","68","289","1","5","21","38","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","78","389","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","79","467","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","39","422","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","13","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","16","222","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1121","3540","23","129","200","428","16","156","2","41","82","5","5","1","1","14","1","0","0","0","1","2","0","0","0","0","0","2","0"
