"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","6","2","0","0"
"1〜4歳","0","0","0","0","0","0","3","17","0","0"
"5〜9歳","0","0","0","0","0","0","2","4","0","0"
"10〜14歳","1","0","0","0","0","0","0","1","0","0"
"15〜19歳","16","1","1","5","1","0","3","0","0","0"
"20〜24歳","39","8","10","23","1","0","1","0","0","0"
"25〜29歳","47","15","14","23","3","1","2","1","0","0"
"30〜34歳","36","14","15","16","0","2","1","0","0","0"
"35〜39歳","15","18","15","14","0","1","3","0","0","0"
"40〜44歳","12","10","10","10","0","1","1","0","0","0"
"45〜49歳","7","12","13","2","0","1","4","0","1","0"
"50〜54歳","2","8","6","3","0","1","0","0","0","0"
"55〜59歳","3","4","2","2","0","0","3","1","1","0"
"60〜64歳","1","7","1","0","0","0","4","1","1","0"
"65〜69歳","0","1","0","0","0","0","7","0","2","0"
"70歳以上","0","4","1","0","1","0","35","9","3","0"
"合計","179","102","88","98","6","7","75","36","8","0"
