"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","33","29","16","19","0","0","4","0","1","0","",""
"区南部","2","1","0","5","0","0","5","1","0","0","",""
"区西南部","10","2","2","2","0","0","5","0","1","0","",""
"区西部","40","25","18","35","0","6","19","2","5","0","",""
"区西北部","18","15","6","7","0","1","3","2","0","0","",""
"区東北部","2","5","0","1","0","0","3","8","0","0","",""
"区東部","19","12","4","15","1","0","1","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"北多摩西部","0","0","0","0","1","0","0","0","0","0","",""
"北多摩南部","0","0","0","2","0","0","27","14","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","4","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","124","89","46","86","2","7","67","33","7","0","",""
