"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","3","2","34","4","2","1","24","0","4","0","2","0","0","0","0","0","0","0"
"1歳","1","0","2","10","22","13","15","1","23","0","12","0","4","0","0","0","0","0","3","0"
"2歳","1","0","6","5","20","11","8","1","4","0","13","5","1","0","0","0","0","0","1","0"
"3歳","1","0","2","6","19","5","12","4","1","0","3","8","1","1","0","0","0","0","1","0"
"4歳","2","0","2","24","25","10","7","9","1","0","3","16","2","0","0","0","0","0","1","0"
"5歳","2","0","1","12","17","6","6","6","0","0","3","6","0","0","0","1","0","0","2","0"
"6歳","3","0","0","15","10","1","2","1","0","0","4","8","0","0","0","0","0","0","0","0"
"7歳","2","0","1","13","12","5","2","4","1","0","1","10","0","0","0","0","0","0","0","0"
"8歳","1","0","1","6","14","0","4","0","0","0","0","2","1","0","0","0","0","0","0","0"
"9歳","3","0","0","4","12","2","3","1","0","0","1","2","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","1","2","22","1","1","0","0","1","0","3","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","7","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","0","4","34","0","2","0","0","1","0","3","0","0","0","2","0","0","0","0"
"30〜39歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","23","0","19","103","249","59","64","29","55","2","44","64","11","1","1","5","0","0","8","0"
