"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","5","6","0"
"1〜4歳","0","0","0","0","0","0","8","24","0"
"5〜9歳","0","0","0","0","0","0","4","4","0"
"10〜14歳","0","0","0","1","0","0","2","0","0"
"15〜19歳","16","0","2","6","3","0","2","0","0"
"20〜24歳","61","13","15","33","8","0","4","0","0"
"25〜29歳","48","15","11","29","5","1","4","1","0"
"30〜34歳","35","11","11","19","2","1","3","1","0"
"35〜39歳","27","8","7","7","7","0","2","0","0"
"40〜44歳","14","3","1","8","1","2","3","0","1"
"45〜49歳","7","4","4","6","5","0","4","0","0"
"50〜54歳","2","1","3","1","1","0","8","0","0"
"55〜59歳","8","4","2","1","0","0","11","0","0"
"60〜64歳","1","1","1","2","0","0","13","0","0"
"65〜69歳","0","1","0","1","1","0","15","0","1"
"70歳以上","1","1","0","0","0","0","92","6","0"
"合計","220","62","57","114","33","4","180","42","2"
