"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","1","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"中央区","2","0","1","8","27","0","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","1","2","5","2","6","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","4","6","5","14","31","0","3","0","1","0","0","1","1","2","0","0","0","0","0","0","0","0","","","","","",""
"文京","4","0","1","7","11","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","1","","","","","",""
"台東","0","0","3","8","25","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","0","1","2","6","8","0","5","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"江東区","0","2","2","20","62","0","2","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","0","4","3","16","32","1","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","1","1","3","19","5","6","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","2","4","8","29","88","1","18","1","4","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","9","5","9","73","59","8","2","3","5","0","2","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","0","0","0","2","9","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","",""
"中野区","0","2","3","9","34","6","0","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","1","0","7","8","37","2","1","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","0","2","0","1","6","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北区","2","1","4","4","23","3","12","0","8","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","2","0","4","7","10","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","2","0","0","4","26","3","3","0","4","0","0","1","0","0","0","1","0","0","0","0","1","0","","","","","",""
"練馬区","0","0","6","34","32","10","4","0","4","0","1","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","0","0","7","11","42","4","2","0","6","0","0","0","0","0","0","3","0","0","0","0","0","0","","","","","",""
"葛飾区","1","0","2","4","34","1","2","0","6","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","3","0","7","20","66","4","1","2","2","0","5","2","0","0","0","2","0","0","0","0","0","0","","","","","",""
"八王子市","3","0","2","29","80","7","3","4","7","0","0","2","1","0","0","1","0","0","0","0","0","0","","","","","",""
"町田市","4","0","1","18","64","2","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","2","0","3","1","21","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","1","2","6","19","37","7","0","1","5","0","1","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","5","0","1","34","48","3","0","1","4","0","0","1","0","0","0","0","0","0","1","0","1","0","","","","","",""
"多摩府中","3","4","10","30","72","4","0","0","3","0","0","3","0","0","0","0","0","0","0","0","1","0","","","","","",""
"多摩小平","3","2","16","45","67","7","3","0","12","0","0","3","1","0","0","0","0","0","1","0","0","0","","","","","",""
"島しょ","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","55","38","119","467","1079","82","77","21","93","1","18","25","7","3","0","11","0","0","2","0","4","1","","","","","",""
