"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","1","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","0","2","3","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","1","5","5","4","20","2","12","1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","0","7","0","1","8","3","0","0","2","0","0","1","1","0","0","1","0","0","1","0","0","0","","","","","",""
"文京","0","1","0","0","3","0","4","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"台東","0","0","1","3","18","4","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","0","2","0","1","15","0","2","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","0","7","1","12","26","3","1","3","5","0","3","2","1","0","0","1","0","0","0","0","0","0","","","","","",""
"品川区","0","1","0","1","27","3","1","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","0","0","1","13","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","1","8","7","11","49","4","2","4","2","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","2","20","5","10","32","5","5","3","7","0","0","1","1","0","0","0","0","1","0","0","0","0","","","","","",""
"渋谷区","0","0","0","1","6","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","3","1","1","3","25","6","3","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","5","4","0","2","20","0","3","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","0","1","0","5","4","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","0","0","0","1","11","2","3","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","2","11","1","2","10","1","0","2","2","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","0","0","5","0","23","1","2","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","8","2","0","14","13","3","0","6","4","0","3","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","2","2","4","6","55","5","3","1","5","0","1","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","0","2","0","7","13","2","11","1","3","0","0","1","3","0","0","1","0","0","0","0","0","0","","","","","",""
"江戸川","0","9","3","17","36","3","2","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","","","","","",""
"八王子市","4","16","0","33","34","2","2","11","4","0","1","2","0","0","0","2","0","0","0","0","0","0","","","","","",""
"町田市","0","2","1","20","40","4","6","3","1","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","2","4","1","4","16","3","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"南多摩","1","3","0","13","11","3","5","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","6","2","0","20","35","1","4","4","1","0","2","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"多摩府中","1","2","2","32","37","11","6","3","12","0","1","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","0","18","4","19","24","11","1","3","4","0","3","2","1","0","0","0","0","0","1","0","0","0","","","","","",""
"島しょ","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","38","132","45","251","628","83","82","69","87","0","21","18","16","1","0","8","0","1","3","0","0","0","","","","","",""
