"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","0","0","0","4","4","3","0","1","0","2","0","0","0","0","0","0","0","0","0"
"〜1歳","1","0","2","0","15","6","27","1","21","0","39","0","1","0","0","0","0","0","0","0"
"1歳","0","0","7","2","28","12","88","1","27","1","155","3","3","0","0","0","0","0","0","0"
"2歳","0","0","4","4","29","21","65","1","1","1","117","7","2","0","0","0","0","0","0","0"
"3歳","0","0","4","10","24","20","70","7","2","0","105","10","1","0","0","0","0","0","0","0"
"4歳","2","0","2","16","34","17","44","3","1","0","115","20","0","0","0","0","0","1","1","0"
"5歳","0","0","1","10","23","12","46","4","0","0","79","14","0","1","0","0","0","1","1","0"
"6歳","0","0","3","6","24","4","21","3","0","1","38","4","1","0","0","0","0","0","0","0"
"7歳","0","0","1","7","13","1","11","5","0","2","29","8","0","0","0","0","0","0","0","0"
"8歳","0","0","0","8","22","1","9","2","0","0","13","10","1","0","0","0","0","0","0","0"
"9歳","0","0","0","7","14","0","6","1","1","0","8","3","0","0","0","0","0","0","0","0"
"10〜14歳","1","0","0","9","32","2","3","1","0","1","4","5","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","1","0","0","5","20","2","2","0","0","1","2","0","0","0","1","0","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","6","0","24","84","285","102","397","29","54","7","706","84","9","1","1","8","0","2","2","0"
