"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","38","8","0","0","10","5","0","2","1","0","0","0","0","0","0","0","0","0","2","0","0","0","3","4","3","0","2","2","2"
"中央区","43","7","0","0","2","14","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","111","16","2","0","5","33","1","2","7","0","0","0","0","0","0","0","0","0","0","0","0","9","3","9","6","0","1","1","1"
"新宿区","129","51","2","1","21","30","3","4","7","1","0","1","0","0","0","0","0","0","2","0","0","2","5","12","8","2","2","2","2"
"文京","100","14","0","0","5","29","4","16","10","0","0","0","0","0","0","1","0","0","0","0","0","0","3","7","4","1","1","1","1"
"台東","123","7","0","1","13","61","3","7","17","2","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","141","35","0","4","5","7","1","2","20","3","0","0","0","0","0","0","0","0","4","0","0","9","4","8","5","1","1","1","1"
"江東区","222","23","1","1","30","70","13","15","37","3","0","1","0","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","165","18","0","0","12","47","7","4","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","91","8","2","0","12","22","0","1","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","259","33","5","9","36","117","6","9","34","3","1","2","1","0","0","4","0","0","1","0","0","3","2","21","13","2","1","1","1"
"世田谷","484","38","7","3","20","67","3","16","30","1","0","1","1","0","0","0","0","0","3","0","0","9","10","25","16","2","2","2","2"
"渋谷区","91","4","0","0","13","15","4","1","4","2","0","0","0","0","0","0","1","0","0","0","0","4","3","7","4","1","1","1","1"
"中野区","220","21","1","1","31","50","5","7","24","2","0","0","0","0","0","2","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","172","25","0","5","10","58","0","0","20","3","0","0","0","0","0","0","0","0","6","0","1","4","6","17","11","1","2","2","2"
"池袋","136","29","3","1","8","28","2","5","11","1","0","0","0","0","0","4","0","0","2","0","0","0","0","8","5","1","1","1","1"
"北区","202","29","0","0","19","30","0","7","17","1","0","1","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","227","16","22","0","19","58","0","11","31","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","214","40","0","5","34","56","4","2","26","3","0","0","0","0","0","0","0","0","6","0","0","2","2","16","10","2","1","1","1"
"練馬区","326","35","1","2","55","89","8","9","68","0","0","1","0","0","0","5","0","0","0","0","0","0","0","20","13","2","0","0","0"
"足立","295","49","9","16","28","84","2","13","12","10","1","1","1","0","0","0","0","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","150","23","0","0","16","30","4","16","37","2","0","0","0","0","0","0","0","0","7","0","0","2","2","13","8","1","1","1","1"
"江戸川","410","47","1","6","38","94","2","10","47","6","0","0","1","0","0","8","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","422","38","3","7","35","104","9","18","40","3","0","0","0","0","0","1","0","0","0","0","0","5","9","18","11","2","1","1","1"
"町田市","381","33","0","0","20","51","1","5","41","1","0","1","1","0","0","3","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","152","41","0","3","6","18","2","8","7","0","0","1","0","0","0","2","0","0","13","0","0","2","1","14","8","1","1","1","1"
"南多摩","181","51","5","1","18","28","2","13","28","4","0","1","0","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","294","43","0","2","36","36","6","14","46","0","0","0","0","0","0","0","0","0","0","0","0","9","3","21","14","2","1","1","1"
"多摩府中","773","58","3","12","75","126","14","28","45","4","0","4","2","0","0","0","0","1","3","0","0","19","6","33","21","3","3","3","3"
"多摩小平","671","83","7","6","94","73","5","32","69","6","0","0","0","0","0","0","0","1","14","0","0","18","17","23","15","2","2","2","2"
"島しょ","33","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","1"
"合計","7256","924","74","86","726","1530","115","277","749","66","2","15","7","0","0","30","1","2","63","0","1","97","79","418","264","39","25","25","25"
