"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","31","0","0","1","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"中央区","79","0","2","4","34","0","0","2","3","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","116","0","0","16","11","2","1","4","0","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"新宿区","130","2","2","5","20","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","55","2","0","0","23","1","0","4","2","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"台東","59","0","0","7","24","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","72","1","0","1","13","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","","","","","",""
"江東区","181","0","0","9","60","4","0","3","3","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","80","0","0","3","23","0","1","1","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","58","0","0","8","20","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","234","0","1","18","55","1","1","6","3","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","375","1","2","18","39","6","0","4","1","0","0","2","0","0","0","0","0","0","0","3","5","","","","","",""
"渋谷区","54","0","1","0","21","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"中野区","148","0","0","15","19","0","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","184","0","3","4","46","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","8","","","","","",""
"池袋","51","0","1","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","",""
"北区","141","0","0","8","16","2","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","93","1","0","11","13","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","186","0","0","3","29","2","0","4","2","1","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"練馬区","208","2","2","24","58","5","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","237","2","1","12","42","5","0","5","0","0","2","0","1","0","2","0","0","0","0","0","0","","","","","",""
"葛飾区","187","0","0","3","28","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","5","","","","","",""
"江戸川","257","1","1","13","34","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","294","1","0","11","41","5","0","9","0","1","0","0","0","0","2","0","0","0","0","0","1","","","","","",""
"町田市","248","0","0","13","31","4","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","212","0","0","2","18","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","218","0","0","5","19","1","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","349","1","0","24","36","1","1","2","2","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"多摩府中","494","2","0","19","86","7","3","15","4","0","0","1","0","0","0","0","0","1","0","0","10","","","","","",""
"多摩小平","329","2","1","22","40","3","0","11","3","0","0","0","1","0","0","0","0","0","0","0","9","","","","","",""
"島しょ","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","5373","18","17","279","904","58","14","106","36","5","5","4","2","0","4","0","0","1","0","4","51","","","","","",""
