"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","103","93","196","55"
"性器ヘルペスウイルス感染症","80","40","120","55"
"尖圭コンジローマ","70","25","95","55"
"淋菌感染症","67","26","93","55"
"膣トリコモナス症","0","13","13","55"
"梅毒様疾患","0","0","0","55"
"メチシリン耐性黄色ブドウ球菌感染症","39","25","64","25"
"ペニシリン耐性肺炎球菌感染症","6","2","8","25"
"薬剤耐性緑膿菌感染症","0","0","0","25"
