"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","5","0","0","0","3","5","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"〜1歳","49","0","0","0","26","12","0","0","32","0","0","0","1","0","0","2","0","0","1","0","0","0","0","0"
"1歳","164","0","3","2","93","22","2","1","19","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0"
"2歳","151","0","4","1","67","22","1","3","2","0","1","0","0","1","2","0","0","1","0","0","0","0","0","0"
"3歳","188","0","0","7","68","18","1","0","0","0","0","0","1","5","0","0","0","1","0","0","0","0","0","0"
"4歳","187","0","0","6","54","14","1","6","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0"
"5歳","154","0","1","13","63","15","0","6","0","0","0","0","1","8","1","0","0","0","0","0","0","0","0","0"
"6歳","130","0","0","10","36","8","0","3","0","0","0","1","1","3","0","0","0","0","0","0","0","0","0","0"
"7歳","125","0","1","9","41","4","1","4","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"8歳","123","0","0","1","31","2","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"9歳","108","0","1","1","28","5","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","473","0","0","6","80","2","0","5","1","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0"
"15〜19歳","223","0","0","1","44","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","246","0","1","4","165","2","0","1","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","0"
"30〜39歳","286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"40〜49歳","169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"70〜79歳","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","2946","0","11","61","799","132","6","33","58","0","1","2","4","30","7","2","0","9","1","0","0","1","0","0"
