"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","140","5","3","16","76","3","0","2","5","0","0","1","1","1","0","4","0","0","0","0","0","1","","","","","",""
"区南部","148","3","1","24","94","2","1","10","5","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","188","7","2","22","89","9","0","4","4","0","0","1","1","1","0","0","0","0","1","0","1","3","","","","","",""
"区西部","175","2","2","11","115","3","1","11","9","0","0","2","1","1","0","1","0","0","0","0","0","1","","","","","",""
"区西北部","246","6","6","39","105","6","2","16","3","1","0","2","2","0","0","2","0","0","0","0","0","1","","","","","",""
"区東北部","250","11","4","27","106","9","0","7","5","0","0","1","1","0","0","1","0","0","1","1","0","2","","","","","",""
"区東部","231","1","2","43","109","6","1","14","8","0","0","5","1","1","0","0","0","0","0","0","0","1","","","","","",""
"西多摩","77","1","2","10","19","3","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","424","10","1","66","129","9","2","7","4","1","0","4","1","1","0","0","0","0","0","0","0","1","","","","","",""
"北多摩西部","105","3","1","8","24","1","2","3","1","1","0","2","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","235","3","1","18","54","2","2","1","5","1","0","2","0","0","0","0","0","1","0","0","0","4","","","","","",""
"北多摩北部","128","3","1","28","33","7","5","4","4","2","0","2","1","0","0","0","0","0","1","0","0","3","","","","","",""
"島しょ","11","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","2358","55","26","312","953","61","16","80","54","6","1","23","9","6","0","8","0","1","3","1","1","17","","","","","",""
