"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","0","13","1","0","0","2","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"〜1歳","0","18","13","1","5","23","0","97","0","10","16","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"1歳","0","39","24","5","5","43","2","369","1","24","42","0","3","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"2歳","2","20","5","3","11","35","0","260","2","4","32","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","1","16","1","3","17","24","0","166","9","1","39","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","1","13","1","1","19","26","0","148","7","0","32","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","3","11","0","2","21","25","2","118","6","0","28","0","1","1","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"6歳","2","8","0","2","18","18","0","47","9","0","11","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"7歳","0","14","1","0","22","24","1","33","6","0","9","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"8歳","0","4","0","0","13","16","2","23","3","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","8","0","1","8","8","1","8","4","0","3","0","0","0","0","0","0","0","4","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"10〜14歳","6","87","0","2","16","32","4","21","2","0","6","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","4","80","0","1","0","9","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"20〜29歳","8","198","0","2","20","55","0","19","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"30〜39歳","8","188","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","4"
"40〜49歳","8","219","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3"
"50〜59歳","4","275","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","3"
"60〜69歳","2","186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","0","0","0","0","0","1","0","2","2","7"
"70〜79歳","2","137","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","21","0","0","0","0","0","0","0","4","2","17"
"80歳以上","2","116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","46","0","0","0","0","0","0","0","4","2","40"
"合計","53","1650","46","23","175","340","12","1324","49","39","224","2","6","2","0","8","1","0","22","0","0","1","98","0","0","0","0","0","1","0","10","7","84"
