"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","21","6","0","0"
"1〜4歳","0","0","0","0","0","0","14","22","0","0"
"5〜9歳","0","0","0","0","0","0","8","2","0","0"
"10〜14歳","0","0","0","0","0","0","2","2","0","0"
"15〜19歳","10","4","1","2","1","1","4","0","0","0"
"20〜24歳","52","11","5","14","2","3","0","0","1","0"
"25〜29歳","53","21","11","20","1","2","1","0","0","0"
"30〜34歳","45","15","5","29","1","0","1","0","0","0"
"35〜39歳","21","13","4","13","1","0","2","1","0","0"
"40〜44歳","19","13","13","6","1","1","1","0","0","0"
"45〜49歳","11","15","5","4","2","1","3","0","0","0"
"50〜54歳","7","4","0","0","0","0","3","1","1","0"
"55〜59歳","3","2","3","1","0","0","0","1","0","0"
"60〜64歳","1","5","1","0","1","0","2","2","0","0"
"65〜69歳","0","3","2","0","0","0","7","0","1","0"
"70歳以上","0","4","0","1","1","0","40","3","1","0"
"合計","222","110","50","90","11","8","109","40","4","0"
