"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","8","6","7","13","5","0","0","0","0","",""
"区南部","2","0","0","0","0","0","1","0","0","",""
"区西南部","8","5","0","1","1","0","2","0","0","",""
"区西部","13","6","19","1","2","0","6","0","1","",""
"区西北部","6","7","1","1","0","0","3","0","0","",""
"区東北部","6","1","0","0","0","0","2","0","0","",""
"区東部","8","0","2","1","1","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","7","5","1","0","1","0","0","0","0","",""
"北多摩西部","5","0","0","2","2","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","6","2","0","",""
"北多摩北部","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","63","30","30","19","12","0","20","2","1","",""
