"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","1","0","0","6","1","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"〜1歳","0","7","0","1","47","5","3","1","19","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"1歳","2","9","2","3","95","25","12","1","14","0","0","0","0","2","0","0","0","0","0","0","2","0","0"
"2歳","3","2","2","5","75","17","13","1","0","0","0","0","0","3","0","0","0","1","0","0","1","0","0"
"3歳","1","2","1","7","83","6","10","1","1","0","0","0","0","8","2","1","0","0","0","0","1","0","0"
"4歳","5","0","1","11","70","14","14","1","1","0","0","0","0","16","0","0","0","0","0","0","0","0","0"
"5歳","3","0","0","5","69","12","3","2","0","0","0","0","0","14","0","0","0","1","0","0","0","0","0"
"6歳","3","1","0","5","64","10","5","2","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"7歳","1","0","0","12","31","1","3","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"8歳","3","1","0","4","24","3","1","1","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0"
"9歳","2","0","0","3","15","1","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"10〜14歳","3","0","0","4","31","3","2","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","4","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"20〜29歳","2","3","0","2","66","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"30〜39歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"50〜59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","38","26","6","62","680","98","68","12","38","0","0","1","1","65","3","2","0","4","0","1","5","0","0"
