"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","2","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","","","","","",""
"中央区","2","0","1","1","13","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","32","0","2","9","38","1","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","10","1","0","16","26","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","","","","","",""
"文京","5","1","1","1","13","2","0","0","2","0","0","0","0","0","0","2","0","1","0","0","0","","","","","",""
"台東","2","0","0","1","43","2","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","6","0","0","2","18","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"江東区","23","4","2","10","108","1","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","","","","","",""
"品川区","6","0","0","8","52","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","1","0","1","2","12","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","18","3","7","31","100","2","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","46","0","2","27","88","2","1","0","7","0","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"渋谷区","9","2","0","1","15","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"中野区","11","0","0","5","48","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","","","","","",""
"杉並","29","0","1","6","58","1","0","0","2","0","0","3","0","1","0","0","0","0","0","0","0","","","","","",""
"池袋","6","0","0","1","12","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","12","0","0","3","46","1","0","0","5","0","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","14","0","0","6","35","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","21","0","1","13","32","3","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"練馬区","32","0","0","17","63","4","1","0","3","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"足立","17","0","1","9","75","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","15","0","0","5","53","4","0","0","5","0","0","1","0","0","0","1","0","0","5","0","1","","","","","",""
"江戸川","24","1","3","12","71","3","0","1","4","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","32","3","1","41","122","8","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","38","0","0","31","76","4","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","9","1","1","7","38","4","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","21","1","0","15","64","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","","","","","",""
"多摩立川","33","1","0","16","85","8","1","3","2","0","0","2","2","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","29","2","1","32","124","4","1","0","1","0","1","1","0","0","0","0","0","0","1","0","1","","","","","",""
"多摩小平","44","1","2","19","122","10","0","0","7","0","0","0","0","0","0","2","1","0","2","0","1","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","549","21","27","347","1651","83","10","11","73","0","2","16","4","5","0","9","2","2","9","0","4","","","","","",""
