"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","13","9","0"
"1〜4歳","0","0","0","0","0","0","10","27","0"
"5〜9歳","0","0","0","0","0","0","1","2","0"
"10〜14歳","0","0","0","0","0","0","1","1","1"
"15〜19歳","7","1","0","1","1","0","0","0","0"
"20〜24歳","32","14","7","11","6","1","3","0","0"
"25〜29歳","48","12","5","17","3","1","1","0","0"
"30〜34歳","40","15","8","18","5","1","1","1","0"
"35〜39歳","21","15","10","10","7","0","1","0","0"
"40〜44歳","16","9","3","6","1","1","1","1","0"
"45〜49歳","11","9","2","12","2","0","4","0","1"
"50〜54歳","4","6","2","1","1","1","4","0","0"
"55〜59歳","5","6","3","2","0","0","7","1","0"
"60〜64歳","0","1","1","0","0","0","13","0","0"
"65〜69歳","0","0","1","0","0","0","10","3","1"
"70歳以上","0","1","0","0","0","0","77","2","4"
"合計","184","89","42","78","26","5","147","47","7"
