"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","0","15","7","0","0","6","0","11","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"〜1歳","0","19","10","3","1","27","0","71","0","5","14","1","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3"
"1歳","0","27","26","6","9","78","1","260","3","14","23","0","3","1","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"2歳","3","17","4","2","7","30","0","189","5","5","31","1","2","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"3歳","2","13","4","7","13","23","0","157","6","3","25","0","0","1","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"4歳","1","16","2","4","20","37","3","125","10","2","23","2","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","6","16","0","2","28","35","3","106","8","0","16","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"6歳","3","10","1","3","24","18","3","53","8","0","11","2","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"7歳","5","11","0","2","22","31","3","32","9","0","4","1","1","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"8歳","3","12","0","0","13","22","1","11","5","0","1","0","0","0","0","0","0","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"9歳","3","8","0","1","6","23","2","13","3","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","5","83","1","0","25","39","3","22","1","0","4","0","1","0","0","0","0","0","13","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"15〜19歳","0","62","0","0","5","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","11","125","0","3","5","27","0","14","0","0","1","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"30〜39歳","2","109","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"40〜49歳","3","127","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"50〜59歳","3","142","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","8","0","0","0","0","0","0","0","1","0","7"
"60〜69歳","2","105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","1","0","13"
"70〜79歳","1","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","1","1","19"
"80歳以上","1","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","6","1","29"
"合計","54","1038","55","33","178","404","19","1065","58","29","156","8","11","3","0","7","1","1","36","0","0","0","93","0","0","0","0","0","0","0","10","2","83"
