"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","23","109","36","2","8","32","2","5","0","2","66","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区南部","39","103","40","5","7","45","1","8","0","4","85","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","48","150","33","6","17","42","1","6","0","3","78","3","3","0","0","2","0","1","0","0","0","1","","","","","",""
"区西部","7","163","27","5","17","31","3","2","0","6","55","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区西北部","30","246","46","5","10","52","2","23","1","2","151","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","10","161","28","7","10","59","1","5","1","7","86","1","2","0","1","1","0","0","0","0","0","0","","","","","",""
"区東部","20","188","26","2","20","62","0","4","1","5","83","0","2","1","0","0","0","0","1","0","0","0","","","","","",""
"西多摩","4","45","2","0","5","9","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","8","137","40","3","25","79","1","16","1","3","144","3","1","1","0","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","3","61","10","3","13","36","1","2","4","1","66","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","26","137","29","4","8","48","1","13","0","8","121","1","2","3","0","1","0","0","0","0","0","0","","","","","",""
"北多摩北部","36","70","33","2","14","26","3","2","1","2","76","1","1","0","0","0","0","0","0","0","0","1","","","","","",""
"島しょ","1","24","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","255","1594","350","44","156","521","16","86","9","43","1023","14","12","5","1","8","0","1","1","0","0","2","","","","","",""
