"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","12","4","0","0"
"1〜4歳","0","0","0","0","0","0","5","8","0","0"
"5〜9歳","0","0","0","0","0","0","2","1","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","0","2","0","4","0","0","3","0","0","0"
"20〜24歳","10","5","3","9","0","1","1","0","1","0"
"25〜29歳","21","6","6","15","0","2","0","0","0","0"
"30〜34歳","20","5","11","13","0","1","0","0","0","0"
"35〜39歳","15","9","9","18","0","0","0","0","0","0"
"40〜44歳","8","13","10","6","0","1","1","0","0","0"
"45〜49歳","11","8","4","4","0","2","1","0","0","0"
"50〜54歳","5","4","5","3","0","1","0","0","0","0"
"55〜59歳","3","1","2","0","0","0","4","0","0","0"
"60〜64歳","1","2","0","1","0","0","1","1","1","0"
"65〜69歳","0","3","1","1","0","0","4","3","0","0"
"70歳以上","0","2","0","0","0","0","29","5","2","0"
"合計","94","60","51","74","0","8","64","22","4","0"
