"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","2","23","26","0","0","10","0","1","0","2","3","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","5","61","55","9","0","71","1","10","0","15","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","11","87","84","18","5","132","3","39","1","36","105","0","5","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","17","61","46","24","13","104","2","33","0","8","109","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","27","64","17","20","20","69","3","21","0","3","85","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","41","55","10","19","30","88","3","21","0","5","75","1","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","56","36","8","16","48","79","5","15","0","0","59","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","56","40","2","17","42","54","2","7","0","1","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","44","53","1","9","36","50","3","6","0","0","13","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","25","53","0","4","34","34","1","3","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","27","59","0","2","24","29","0","0","0","0","7","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","74","319","1","3","21","61","6","2","0","0","7","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","22","324","0","0","3","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","16","679","0","0","26","78","0","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","30","610","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","44","727","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0"
"50〜59歳","9","695","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","5","448","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","234","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","513","4767","250","141","302","874","29","160","2","70","528","7","22","2","0","17","2","1","1","0","0","1","0","0","0","0","0","1","0"
