"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","0","17","8","0","0","17","0","29","0","1","3","0","2","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","7"
"〜1歳","1","30","32","10","1","69","0","334","1","18","49","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","1","1"
"1歳","1","62","49","32","19","111","1","1288","4","56","202","1","4","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"2歳","3","29","24","15","27","68","5","738","4","11","175","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","3","16","4","10","58","94","5","430","16","4","115","1","2","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","3","21","2","8","77","88","1","338","15","6","109","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","5","26","3","7","90","87","2","252","15","1","79","7","4","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","7","20","1","5","99","93","1","92","13","0","40","8","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"7歳","6","16","0","6","84","69","3","55","5","0","24","10","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","4","27","1","0","79","74","10","37","10","0","5","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","6","29","0","4","45","34","5","30","8","0","11","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","22","241","0","0","100","146","16","25","5","0","16","2","3","0","0","0","0","0","7","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"15〜19歳","9","234","1","3","11","29","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"20〜29歳","12","363","0","3","43","92","0","40","2","0","7","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"30〜39歳","5","341","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","3"
"40〜49歳","16","453","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","1","1","0","0","0","7","0","0","0","0","0","0","0","0","0","7"
"50〜59歳","9","411","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","6","1","0","0","0","0","1","0","0","0","6"
"60〜69歳","4","307","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","15","0","0","0","0","0","0","0","1","0","14"
"70〜79歳","3","207","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","44","0","0","0","0","0","0","0","6","2","37"
"80歳以上","1","144","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","71","0","0","0","0","0","1","0","8","4","62"
"合計","120","2994","125","103","733","1071","49","3689","99","97","835","38","24","1","0","21","2","1","20","0","0","4","161","1","0","0","0","0","3","0","16","7","143"
