"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","117","87","204","55"
"性器ヘルペスウイルス感染症","63","29","92","55"
"尖圭コンジローマ","31","15","46","55"
"淋菌感染症","65","22","87","55"
"膣トリコモナス症","0","16","16","55"
"梅毒様疾患","0","0","0","55"
"メチシリン耐性黄色ブドウ球菌感染症","53","31","84","25"
"ペニシリン耐性肺炎球菌感染症","5","5","10","25"
"薬剤耐性緑膿菌感染症","3","0","3","25"
