"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","2","6","0","0","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","12","3","0","0","50","4","0","0","14","0","1","0","0","0","0","0","0","0","0","0"
"1歳","34","8","0","3","166","14","2","2","18","0","0","3","0","0","0","0","0","0","1","0"
"2歳","30","3","0","2","74","22","1","0","3","0","1","3","1","0","0","0","0","0","0","0"
"3歳","35","1","0","3","56","17","1","0","0","0","0","8","0","0","0","0","0","0","0","0"
"4歳","22","0","0","4","27","19","0","0","0","0","1","9","0","0","0","0","0","0","0","0"
"5歳","27","0","0","13","38","11","0","1","0","0","0","7","1","0","0","0","0","0","0","0"
"6歳","30","1","0","7","23","9","0","2","0","0","0","12","0","0","0","0","0","0","0","0"
"7歳","33","0","2","5","29","1","1","0","0","0","0","11","0","0","0","0","0","0","0","0"
"8歳","22","0","0","4","33","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"9歳","14","0","1","0","15","1","0","0","0","0","0","3","0","0","0","1","0","0","0","0"
"10〜14歳","62","0","0","3","49","2","0","0","0","0","0","6","0","0","0","1","0","0","0","0"
"15〜19歳","83","0","0","2","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","200","0","0","7","151","2","0","0","0","0","0","3","0","0","0","3","0","0","0","0"
"30〜39歳","100","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0"
"40〜49歳","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"60〜69歳","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","837","22","3","53","730","105","5","6","35","0","3","68","2","0","1","10","0","0","1","0"
