"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","16","4","2","7","0","0","1","0","0","0","2","2"
"中央区","9","6","2","2","0","0","0","0","0","0","3","0"
"みなと","16","39","13","5","0","0","4","0","0","0","2","1"
"新宿区","40","13","43","33","2","6","18","1","0","0","7","2"
"文京","7","1","3","3","0","0","4","0","2","0","1","1"
"台東","34","23","7","35","2","0","0","0","0","0","2","0"
"墨田区","4","1","0","2","1","0","7","1","0","0","2","1"
"江東区","14","3","3","5","0","2","0","0","0","0","2","0"
"品川区","10","2","1","5","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0","0"
"大田区","10","0","0","3","0","0","1","0","0","0","2","1"
"世田谷","0","0","0","0","0","0","4","1","0","0","0","2"
"渋谷区","8","9","4","1","0","1","0","0","0","0","4","1"
"中野区","2","0","0","2","0","0","0","0","0","0","2","0"
"杉並","8","1","0","3","0","0","0","0","0","0","2","2"
"池袋","21","9","4","5","1","0","4","3","0","0","3","1"
"北区","1","0","0","1","0","0","0","0","0","0","1","0"
"荒川区","4","2","0","0","0","0","0","0","0","0","1","0"
"板橋区","9","1","2","4","0","0","3","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0","0"
"足立","5","1","0","3","0","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","1","4","0","0","0","1"
"江戸川","8","0","0","4","0","0","0","0","0","0","2","0"
"八王子市","4","1","0","1","0","0","0","0","0","0","4","1"
"町田市","1","1","0","0","2","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","14","3","1","2","0","0","1","0","0","0","2","1"
"多摩府中","2","0","1","0","0","0","19","0","0","0","3","3"
"多摩小平","0","0","0","0","0","0","2","2","0","0","1","2"
"島しょ","0","0","0","0","0","0","1","0","0","0","0","1"
"合計","247","120","86","126","8","9","70","12","2","0","54","25"
