"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","1","0","0","6","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","1","0","2","26","2","6","0","20","0","1","0","1","0","0","0","0","0","0","0"
"1歳","0","4","4","3","18","12","11","2","22","0","3","0","1","0","0","0","0","0","1","0"
"2歳","0","3","3","3","15","5","3","1","1","0","1","4","0","0","0","0","0","0","0","0"
"3歳","0","0","1","4","8","7","1","8","0","0","1","5","0","0","0","0","1","0","0","0"
"4歳","0","1","0","7","18","9","3","4","0","0","1","5","0","0","0","0","0","0","1","0"
"5歳","2","0","0","12","11","5","0","6","0","0","1","3","0","0","0","0","0","0","0","0"
"6歳","1","0","0","10","13","3","0","2","0","0","0","5","0","0","0","0","0","0","0","0"
"7歳","0","0","2","6","11","1","0","2","0","0","0","5","0","0","0","0","0","0","1","0"
"8歳","0","0","0","5","10","2","0","3","0","0","0","6","0","0","0","0","0","0","1","0"
"9歳","0","0","0","2","11","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","7","22","2","0","1","0","0","0","2","0","0","0","0","0","0","0","0"
"15〜19歳","2","0","0","1","8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"20〜29歳","0","0","0","4","33","0","1","1","0","1","1","0","1","0","0","1","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","8","10","10","66","210","50","25","31","44","1","9","35","4","0","1","8","1","0","4","0"
