"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","4","2","0","0"
"1〜4歳","0","0","0","0","0","0","4","11","0","0"
"5〜9歳","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","0","0","0","1","1","0","0"
"15〜19歳","6","0","2","4","0","0","0","0","0","0"
"20〜24歳","15","4","2","17","0","2","0","0","0","0"
"25〜29歳","30","10","5","18","0","1","0","0","0","0"
"30〜34歳","20","11","11","13","0","2","1","1","0","0"
"35〜39歳","22","4","11","16","1","2","0","1","0","0"
"40〜44歳","15","11","6","16","0","0","2","0","0","0"
"45〜49歳","12","3","9","5","0","1","1","0","0","0"
"50〜54歳","7","4","3","3","0","0","1","0","0","0"
"55〜59歳","3","2","2","1","0","1","2","1","0","0"
"60〜64歳","0","6","2","0","0","0","4","0","0","0"
"65〜69歳","2","1","1","1","0","0","2","2","0","0"
"70歳以上","0","2","0","0","0","0","13","10","1","0"
"合計","132","58","54","94","1","9","35","29","1","0"
