"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","3","9","1","1","7","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","8","26","8","0","68","0","1","1","9","13","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","3","13","56","20","5","114","2","18","1","28","33","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","12","3","17","13","18","102","4","5","0","4","32","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","17","4","15","8","14","91","0","4","0","0","32","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","14","5","15","9","22","105","3","7","1","0","26","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","29","6","7","0","22","95","1","2","0","0","13","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","44","5","0","3","25","71","2","0","1","1","3","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","40","14","1","1","21","58","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","36","11","1","0","13","47","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","40","15","1","0","7","22","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","50","72","0","0","20","47","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","20","70","0","0","2","15","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"20〜29歳","13","133","0","1","24","70","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","17","94","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","36","106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","9","117","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","3","62","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","37","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","388","817","148","64","194","912","24","43","7","43","157","8","5","3","2","8","0","0","1","0","0","1","0","0","0","0","0","1","0"
